title,imdb_id,release_date,budget,revenue,vote_average,vote_count,studio_type
Concussion,tt3322364,2015-11-12,35000000,50400000,7.078,2738,indie
The Hustle,tt1298644,2019-05-09,21000000,97400000,6.19,2720,indie
To All the Boys: P.S. I Still Love You,tt9354842,2020-02-03,0,0,6.826,2717,indie
Adrift,tt6306064,2018-05-31,35000000,59945012,6.835,2717,indie
Ghostland,tt6195094,2018-03-14,0,0,7.403,2710,indie
The Boy and the Heron,tt6587046,2023-07-14,50000000,294200000,7.391,2707,indie
The Boss Baby: Family Business,tt6932874,2021-07-01,82000000,146745280,7.328,2706,indie
Licorice Pizza,tt11271038,2021-11-26,40000000,33277069,6.946,2704,indie
Hardcore Henry,tt3072482,2015-09-12,2000000,16810562,6.414,2704,indie
Fear Street: 1994,tt6566576,2021-06-28,10000000,284000000,6.7,2698,indie
The Curse of La Llorona,tt4913966,2019-04-17,9000000,123233739,5.65,2699,indie
Plane,tt5884796,2023-01-11,25000000,74515586,6.895,2696,indie
Love,tt3774694,2015-07-15,3000000,249083,6.455,2691,indie
Malignant,tt3811906,2021-09-01,40000000,34891791,6.76,2678,indie
The Zone of Interest,tt7160372,2023-12-15,15000000,52631884,7.011,2670,indie
Weathering with You,tt9426210,2019-07-19,11100000,192729404,7.976,2662,indie
The Big Sick,tt5462602,2017-03-30,5000000,56303596,7.322,2658,indie
Pearl,tt18925334,2022-09-16,1000000,9847490,7.234,2659,indie
Fantasy Island,tt0983946,2020-02-12,7000000,49447308,5.754,2654,indie
It Comes at Night,tt4695012,2017-06-09,5000000,19280931,5.871,2648,indie
CODA,tt10366460,2021-08-13,10000000,1905058,7.888,2641,indie
Mike and Dave Need Wedding Dates,tt2823054,2016-07-07,33000000,77100000,6.046,2638,indie
Vivarium,tt8368406,2019-09-07,4000000,488000,6.068,2639,indie
Hitman's Wife's Bodyguard,tt8385148,2021-06-14,70000000,70060492,6.634,2634,indie
Chaos Walking,tt2076822,2021-02-24,125000000,26508132,6.544,2634,indie
Rebel Moon - Part One: A Child of Fire,tt14998742,2023-12-15,83000000,0,6.22,2627,indie
Loving Vincent,tt3262342,2017-06-22,5500000,42187665,7.987,2624,indie
Madame Web,tt11057302,2024-02-14,80000000,100498764,5.292,2622,indie
The Bad Guys,tt8115900,2022-03-17,80000000,250162278,7.514,2616,indie
Peninsula,tt8850222,2020-07-15,17000000,42698327,6.714,2614,indie
Guns Akimbo,tt6902676,2020-02-27,15000000,835102,6.435,2601,indie
They Call Me Jeeg,tt3775086,2016-02-25,1900000,5973344,7.4,2592,indie
Bone Tomahawk,tt2494362,2015-10-23,1800000,475846,6.882,2571,indie
The Holdovers,tt14849194,2023-10-27,13000000,42513270,7.646,2568,indie
The Space Between Us,tt3922818,2017-01-26,30000000,14793385,7.046,2567,indie
Dark Waters,tt9071322,2019-11-22,20000000,13601384,7.531,2561,indie
The Mountain Between Us,tt2226597,2017-10-05,35000000,62832209,6.648,2560,indie
Asteroid City,tt14230388,2023-06-08,25000000,53857743,6.5,2552,indie
Demolition,tt1172049,2016-04-06,10000000,4366460,6.848,2546,indie
Descendants,tt3440298,2015-07-31,0,0,7.177,2543,indie
Unhinged,tt10059518,2020-07-16,33000000,39238300,6.427,2541,indie
Grimsby,tt3381008,2016-02-24,35000000,28000000,5.952,2541,indie
Spenser Confidential,tt8629748,2020-03-06,0,0,6.51,2538,indie
The Unbearable Weight of Massive Talent,tt11291274,2022-04-20,30000000,29116320,6.778,2535,indie
Terrifier 2,tt10403420,2022-10-06,250000,15815602,6.672,2533,indie
Hostiles,tt5478478,2017-12-22,55000000,36976336,6.944,2533,indie
A Ghost Story,tt6265828,2017-04-24,100000,1929659,7.064,2526,indie
Polar,tt4139588,2019-01-25,0,0,6.39,2525,indie
The Nun II,tt10160976,2023-09-06,38500000,269670590,6.634,2526,indie
The Addams Family,tt1620981,2019-10-10,40000000,204394183,6.599,2512,indie
Widows,tt4218572,2018-11-06,42000000,75984700,6.478,2502,indie
Irrational Man,tt3715320,2015-07-17,11000000,27391084,6.522,2491,indie
Gabriel's Inferno,tt11316854,2020-05-29,0,0,8.383,2475,indie
Sing Street,tt3544112,2016-03-11,4000000,13624522,7.859,2474,indie
Mile 22,tt4560436,2018-08-16,35000000,66308758,6.27,2474,indie
We Are Your Friends,tt3787590,2015-08-26,6000000,11100000,6.801,2474,indie
Point Break,tt2058673,2015-12-03,105000000,133782481,5.955,2467,indie
Ma,tt7958736,2019-05-29,5000000,61220856,5.817,2463,indie
The Lego Movie 2: The Second Part,tt3513498,2019-02-06,99000000,199603202,6.657,2458,indie
Jackie,tt1619029,2016-12-02,9000000,13960394,6.457,2448,indie
Hunter Killer,tt1846589,2018-10-19,40000000,31672678,6.91,2439,indie
All the Money in the World,tt5294550,2017-12-21,50000000,56996304,6.491,2435,indie
In the Tall Grass,tt4687108,2019-09-20,0,0,5.55,2426,indie
Saw X,tt21807222,2023-09-27,13000000,125319714,7.158,2419,indie
Poltergeist,tt1029360,2015-05-20,35000000,95682614,5.224,2414,indie
The Christmas Chronicles,tt2990140,2018-11-22,0,0,7.156,2410,indie
Kraven the Hunter,tt8790086,2024-12-11,130000000,62076533,6.434,2408,indie
The Guardians of the Galaxy Holiday Special,tt13623136,2022-11-24,0,0,7.091,2407,indie
Solace,tt1291570,2015-09-03,0,22586863,6.437,2406,indie
Flatliners,tt2039338,2017-09-28,19000000,45158254,5.645,2405,indie
The Woman King,tt8093700,2022-09-16,50000000,97562514,7.6,2394,indie
A Rainy Day in New York,tt7139936,2019-07-26,25000000,23805899,6.484,2387,indie
The Spy Who Dumped Me,tt6663582,2018-08-02,40000000,33562069,6.372,2384,indie
Holidate,tt9866072,2020-10-27,0,0,6.97,2382,indie
Past Lives,tt13238346,2023-06-02,12000000,28126646,7.696,2378,indie
When We First Met,tt5783956,2018-02-08,10000000,0,6.561,2370,indie
Air,tt16419074,2023-04-05,80000000,90100000,7.281,2369,indie
Sherlock: The Abominable Bride,tt3845232,2016-01-01,0,0,7.833,2361,indie
Where the Crawdads Sing,tt9411972,2022-07-14,24000000,144353965,7.523,2351,indie
Climax,tt8359848,2018-09-19,2900000,1696075,7.04,2352,indie
Pete's Dragon,tt2788732,2016-08-10,65000000,143695338,6.388,2346,indie
The Fundamentals of Caring,tt2452386,2016-06-16,0,0,7.283,2338,indie
Hunt for the Wilderpeople,tt4698684,2016-01-22,2500000,23900000,7.646,2336,indie
Pride and Prejudice and Zombies,tt1374989,2016-02-04,28000000,16457494,6.163,2333,indie
"tick, tick... BOOM!",tt8721424,2021-11-11,0,0,7.592,2327,indie
Shoplifters,tt8075192,2018-06-02,0,0,7.8,2326,indie
The House with a Clock in Its Walls,tt2119543,2018-09-15,42000000,131523093,6.3,2326,indie
Sinister 2,tt2752772,2015-08-19,10000000,53329150,5.898,2328,indie
Orphan: First Kill,tt11851548,2022-07-27,10000000,9572765,6.593,2325,indie
Spiral: From the Book of Saw,tt10342730,2021-05-12,20000000,40618920,5.893,2316,indie
Eddie the Eagle,tt1083452,2016-02-25,23000000,46152411,7.163,2315,indie
Army of Thieves,tt13024674,2021-10-29,30000000,46900000,6.8,2310,indie
Escape Room: Tournament of Champions,tt9844522,2021-07-01,15000000,65774490,6.509,2311,indie
Every Day,tt7026672,2018-02-22,4900000,10400000,7.242,2306,indie
Triple 9,tt1712261,2016-02-19,20000000,12600000,5.981,2306,indie
Dogman,tt6768578,2018-05-17,0,5080147,7.512,2305,indie
Colossal,tt4680182,2017-04-06,15000000,3029287,6.3,2299,indie
Victor Frankenstein,tt1976009,2015-11-10,40000000,34200000,5.956,2297,indie
Trolls World Tour,tt6587640,2020-03-11,90000000,49276818,7.234,2291,indie
The Princess Switch,tt8954732,2018-10-25,0,0,6.982,2288,indie
The Unholy,tt9419056,2021-03-31,10000000,30832137,6.5,2269,indie
Fear Street: 1978,tt9701940,2021-07-08,10000000,0,7.182,2269,indie
The Shack,tt2872518,2017-03-02,20000000,96942115,7.512,2268,indie
Shot Caller,tt4633690,2017-07-07,0,0,6.964,2257,indie
The Highwaymen,tt1860242,2019-03-15,49000000,0,6.77,2254,indie
The Beguiled,tt5592248,2017-06-23,10500000,27869129,5.917,2251,indie
Day Shift,tt13314558,2022-08-05,100000000,0,6.738,2239,indie
The Green Knight,tt9243804,2021-07-29,15000000,18887953,6.6,2238,indie
Office Christmas Party,tt1711525,2016-11-25,45000000,114500000,5.716,2236,indie
Samaritan,tt5500218,2022-08-25,100000000,75000000,6.653,2232,indie
Youth,tt3312830,2015-05-20,13360000,2000000,6.9,2232,indie
The Hate U Give,tt5580266,2018-10-19,23000000,34934009,8.078,2231,indie
I'm Thinking of Ending Things,tt7939766,2020-08-28,0,0,6.54,2229,indie
Where Am I Going?,tt5290524,2016-01-01,11089000,75173000,6.825,2228,indie
Ghosted,tt15326988,2023-04-18,40000000,0,6.872,2227,indie
Ghostbusters: Frozen Empire,tt21235248,2024-03-20,100000000,201967521,6.5,2222,indie
Speak No Evil,tt27534307,2024-09-11,15000000,77239314,7.114,2213,indie
The Pale Blue Eye,tt14138650,2022-12-22,72000000,0,6.792,2212,indie
Blackhat,tt2717822,2015-01-13,70000000,17752940,5.521,2202,indie
Abominable,tt6324278,2019-09-19,75000000,190304772,7.452,2199,indie
Code 8,tt6259380,2019-12-06,15000000,157209,6.263,2191,indie
The Girl with All the Gifts,tt4547056,2016-09-23,5005600,0,6.594,2187,indie
Mandy,tt6998518,2018-09-13,6000000,1653784,6.202,2185,indie
Late Night with the Devil,tt14966898,2024-03-19,2000000,16765533,7.1,2180,indie
21 Bridges,tt8688634,2019-10-24,33000000,49900000,6.77,2177,indie
Slender Man,tt5690360,2018-05-17,10000000,51738549,4.306,2177,indie
Aloha,tt1243974,2015-05-29,37000000,26250020,5.514,2175,indie
The Wolf's Call,tt7458762,2019-02-20,22400000,12652790,7.5,2171,indie
The Woman in the Window,tt6111574,2021-05-13,40000000,0,5.975,2165,indie
Papillon,tt5093026,2017-09-07,0,10060903,7.322,2164,indie
Keeping Up with the Joneses,tt2387499,2016-10-20,40000000,29900000,6.1,2164,indie
Jungle,tt3758172,2017-06-27,0,1906640,6.662,2163,indie
The Death of Stalin,tt4686844,2017-10-20,13000000,24600000,7.014,2163,indie
Blockers,tt2531344,2018-03-14,21000000,94019120,6.3,2154,indie
Ip Man 4: The Finale,tt2076298,2019-12-19,52000000,239000000,7.269,2153,indie
Circle,tt3118452,2015-05-28,250000,0,6.017,2147,indie
The Boy Next Door,tt3181822,2015-01-23,4000000,52425855,4.942,2127,indie
Revenge,tt6738136,2017-11-18,2900000,938055,6.523,2126,indie
Rough Night,tt4799050,2017-06-15,20000000,47347283,5.692,2115,indie
The Sisters Brothers,tt4971344,2018-09-19,38000000,13143056,6.832,2103,indie
The Wailing,tt5215952,2016-05-12,10951000,49851770,7.4,2101,indie
True Story,tt2273657,2015-04-17,0,5261595,6.261,2101,indie
The Unforgivable,tt11233960,2021-11-24,0,0,7.409,2083,indie
To All the Boys: Always and Forever,tt10676012,2021-02-12,0,0,7.499,2081,indie
#Alive,tt10620868,2020-06-24,6300000,13416285,7.209,2079,indie
Paterson,tt5247022,2016-11-17,5000000,2152738,7.117,2079,indie
The Count of Monte Cristo,tt26446278,2024-06-28,46000000,75360860,7.899,2076,indie
Child's Play,tt8663516,2019-06-19,10000000,44902237,5.975,2074,indie
Blair Witch,tt1540011,2016-09-15,5000000,45172994,5.244,2070,indie
How It Ends,tt5246700,2018-07-13,20000000,0,5.285,2057,indie
Troll,tt11116912,2022-11-30,0,0,6.558,2055,indie
Luck,tt7214954,2022-08-05,0,0,7.764,2049,indie
Dragon Ball Z: Resurrection 'F',tt3819668,2015-04-18,5000000,61768190,6.894,2046,indie
The Midnight Sky,tt10539608,2020-12-10,0,70018,5.732,2044,indie
The Kissing Booth 3,tt12783454,2021-08-11,0,0,6.857,2038,indie
Good Boys,tt6977338,2019-08-14,20000000,111037232,6.834,2037,indie
Ron's Gone Wrong,tt7504818,2021-10-14,57000000,60692022,7.861,2036,indie
Spectral,tt2106651,2016-12-09,70000000,0,6.556,2034,indie
Fear Street: 1666,tt9701942,2021-07-14,0,0,7.087,2028,indie
Mirage,tt6908274,2018-11-30,0,17325485,7.461,2022,indie
Extinction,tt3201640,2018-07-15,0,1451864,6.049,2021,indie
Insidious: The Red Door,tt13405778,2023-07-05,16000000,189086877,6.512,2020,indie
Velvet Buzzsaw,tt7043012,2019-02-01,21000000,0,5.381,2018,indie
Elle,tt3716530,2016-05-25,9800000,2341534,6.639,2014,indie
Capernaum,tt8267604,2018-09-20,4000000,64978931,8.15,2007,indie
Colonia,tt4005402,2016-02-12,14000000,3621046,7.255,2006,indie
Ballerina,tt2261287,2016-12-14,30000000,109573511,7.204,2004,indie
Miss Sloane,tt4540710,2016-11-25,13000000,9101546,7.405,2000,indie
